GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.models,Fulfillment,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.database,FulfillmentRepository,16,171,5,5,5,29,5,8,0,8
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.database,DbFulfillment,19,20,0,0,5,6,1,2,1,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,5,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,26,0,2,0,9,0,3,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,5,98,2,10,1,20,2,7,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,26,148,6,12,5,37,6,11,0,8
java-code-assignment,com.warehouse.api.beans,Warehouse,7,31,0,0,3,13,2,9,2,9
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.usecases,AssociateFulfillmentUseCase,31,117,8,10,6,30,8,3,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,Product,6,3,0,0,3,2,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,0,119,0,10,0,27,0,12,0,7
java-code-assignment,com.fulfilment.application.monolith.exceptions,ErrorRule,0,63,0,0,0,11,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.exceptions,WarehouseException,0,18,0,0,0,7,0,3,0,3
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,15,80,0,0,4,11,2,2,2,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,0,33,0,0,0,10,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,10,116,1,3,2,23,2,7,1,6
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},0,20,1,1,0,5,1,3,0,3
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},0,20,1,1,0,5,1,3,0,3
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},0,20,1,1,0,5,1,3,0,3
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,8,141,2,14,2,33,3,13,1,7
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,5,58,0,0,2,15,0,5,0,5
java-code-assignment,com.fulfilment.application.monolith.stores,Store,10,3,0,0,4,2,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,18,168,6,8,3,44,5,11,0,9
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.restapi,CreateFulfillmentRequest,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.restapi,FulfillmentResource,0,15,0,0,0,3,0,2,0,2
